Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1227 dE=0.0288 GS=Y  readout_only.TVD=0.0892 dE=0.0128 GS=Y  oracle_binomial.TVD=0.0659 dE=0.0008 GS=Y  gdr_param.TVD=0.0570 dE=0.0092 GS=Y  gdr_select.TVD=0.0570 dE=0.0092 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0598   0.0031   0.0015   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0523   0.0024   0.0012   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0603   0.0082   0.0005   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0489   0.0010   0.0008   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0521   0.0023   0.0012   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0484   0.0018   0.0009   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0597   0.0067   0.0004   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0597   0.0067   0.0004   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0498   0.0021   0.0008   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0489   0.0013   0.0009   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.2280   0.0046   0.0006   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0103     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1355   0.0033   0.0030   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1368   0.0032   0.0029   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.0951   0.0000   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.0923   0.0006   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.1925   0.0049   0.0019   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.0697   0.0032   0.0019   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0666   0.0028   0.0016   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.0732   0.0051   0.0016   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.1732   0.0034   0.0031   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.1732   0.0034   0.0031   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.0697   0.0032   0.0019   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.0732   0.0051   0.0016   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.2098   0.0200   0.0032   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0086     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1401   0.0053   0.0051   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1468   0.0045   0.0051   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.2034   0.0022   0.0002   N
