Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1249 dE=0.0730 GS=Y  readout_only.TVD=0.0885 dE=0.0515 GS=Y  oracle_binomial.TVD=0.0682 dE=0.0167 GS=Y  gdr_param.TVD=0.0548 dE=0.0141 GS=Y  gdr_select.TVD=0.0548 dE=0.0141 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0385   0.0426   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0228   0.0026   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0355   0.0479   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0238   0.0181   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0238   0.0181   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0241   0.0180   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0355   0.0480   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0355   0.0480   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0272   0.0270   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0355   0.0480   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.8017   0.5344   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0275     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.0724   0.0359   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.0766   0.0784   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.0494   0.0449   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.0323   0.0050   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.0401   0.0184   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.0284   0.0071   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0284   0.0071   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.0292   0.0041   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.0394   0.0230   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.0394   0.0230   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.0284   0.0071   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.0292   0.0041   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.8017   0.6310   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0040     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.0844   0.0872   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.0720   0.0535   0.0000   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.0645   0.0147   0.0000   N
