Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1328 dE=0.1171 GS=Y  readout_only.TVD=0.0888 dE=0.0764 GS=Y  oracle_binomial.TVD=0.0532 dE=0.0177 GS=Y  gdr_param.TVD=0.0431 dE=0.0138 GS=Y  gdr_select.TVD=0.0431 dE=0.0138 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0690   0.0014   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0542   0.0008   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0544   0.0002   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0496   0.0002   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0496   0.0002   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0503   0.0002   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0563   0.0013   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0563   0.0013   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0515   0.0002   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0496   0.0002   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.2223   0.0332   0.0061   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1646   0.0034   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1666   0.0039   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.1198   0.0027   0.0004   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.1073   0.0021   0.0004   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.1242   0.0073   0.0005   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.0912   0.0014   0.0005   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0912   0.0014   0.0005   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.0823   0.0012   0.0005   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.1202   0.0036   0.0005   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.1202   0.0036   0.0005   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.0920   0.0017   0.0005   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.0912   0.0014   0.0005   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.2295   0.0174   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0005     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1315   0.0029   0.0004   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1361   0.0033   0.0004   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.2365   0.0001   0.0005   N
