Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1423 dE=0.0992 GS=Y  readout_only.TVD=0.0877 dE=0.0545 GS=Y  oracle_binomial.TVD=0.0312 dE=0.0115 GS=Y  gdr_param.TVD=0.0309 dE=0.0105 GS=Y  gdr_select.TVD=0.0309 dE=0.0105 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0560   0.0011   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0441   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0425   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0291   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0441   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0291   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0432   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0432   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0291   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0291   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.2391   0.0000   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1208   0.0032   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1192   0.0024   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.2153   0.0013   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.2087   0.0007   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2186   0.0005   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.0590   0.0006   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.0532   0.0006   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.0550   0.0006   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.1827   0.0008   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.1827   0.0008   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.0590   0.0006   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.0517   0.0006   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.4173   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1593   0.0034   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1572   0.0024   0.0000   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.4423   0.0002   0.0004   N
