ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
ecd    random     loss                      0.003 readout_realistic  raw                  0.0590   0.0360   0.0002
ecd    random     loss                      0.003 readout_realistic  readout_only         0.0486   0.0342   0.0000
ecd    random     loss                      0.003 readout_realistic  oracle_binomial      0.0533   0.0335   0.0001
ecd    random     loss                      0.003 readout_realistic  gdr_param            0.0470   0.0335   0.0001
ecd    random     loss                      0.003 readout_realistic  gdr_damped           0.0471   0.0338   0.0001
ecd    random     loss                      0.003 readout_realistic  gdr_ridge            0.0464   0.0341   0.0001
ecd    random     loss                      0.003 readout_realistic  gdr_holdout          0.0465   0.0340   0.0001
ecd    random     loss                      0.003 readout_realistic  gdr_reg              0.0469   0.0341   0.0001
ecd    random     loss                      0.003 readout_realistic  gdr_mid              0.0465   0.0341   0.0001
ecd    random     loss                      0.003 readout_realistic  gdr_tfree            0.0465   0.0338   0.0001
ecd    random     loss                      0.003 readout_realistic  gdr_residual         0.0558   0.0469   0.0001
ecd    random     loss                      0.003 readout_realistic  gdr_afterburn        0.0558   0.0469   0.0001
ecd    random     loss                      0.003 readout_realistic  gdr_blend            0.0470   0.0335   0.0001
ecd    random     loss                      0.003 readout_realistic  zne_idle             0.1738   0.0177   0.0005
ecd    random     loss                      0.003 readout_realistic  readout_then_zne     0.1765   0.0261   0.0002
ecd    random     loss                      0.003 readout_realistic  zne_then_readout     0.1761   0.0221   0.0002
ecd    random     loss                      0.003 readout_realistic  gdr_select           0.0475   0.0339   0.0001
ecd    random     loss                      0.003 readout_strong     raw                  0.1071   0.0127   0.0004
ecd    random     loss                      0.003 readout_strong     readout_only         0.0606   0.0225   0.0001
ecd    random     loss                      0.003 readout_strong     oracle_binomial      0.0633   0.0149   0.0001
ecd    random     loss                      0.003 readout_strong     gdr_param            0.0589   0.0277   0.0001
ecd    random     loss                      0.003 readout_strong     gdr_damped           0.0585   0.0251   0.0001
ecd    random     loss                      0.003 readout_strong     gdr_ridge            0.0593   0.0276   0.0001
ecd    random     loss                      0.003 readout_strong     gdr_holdout          0.0593   0.0267   0.0001
ecd    random     loss                      0.003 readout_strong     gdr_reg              0.0586   0.0250   0.0001
ecd    random     loss                      0.003 readout_strong     gdr_mid              0.0593   0.0270   0.0001
ecd    random     loss                      0.003 readout_strong     gdr_tfree            0.0595   0.0275   0.0001
ecd    random     loss                      0.003 readout_strong     gdr_residual         0.0642   0.0050   0.0001
ecd    random     loss                      0.003 readout_strong     gdr_afterburn        0.0642   0.0050   0.0001
ecd    random     loss                      0.003 readout_strong     gdr_blend            0.0589   0.0277   0.0001
ecd    random     loss                      0.003 readout_strong     zne_idle             0.2063   0.1230   0.0025
ecd    random     loss                      0.003 readout_strong     readout_then_zne     0.2113   0.1597   0.0020
ecd    random     loss                      0.003 readout_strong     zne_then_readout     0.2117   0.1791   0.0026
ecd    random     loss                      0.003 readout_strong     gdr_select           0.0593   0.0267   0.0001
ecd    random     loss                      0.030 ideal              raw                  0.1423   0.0060   0.0013
ecd    random     loss                      0.030 ideal              oracle_binomial      0.2030   0.1209   0.0005
ecd    random     loss                      0.030 ideal              gdr_param            0.0909   0.0248   0.0017
ecd    random     loss                      0.030 ideal              gdr_damped           0.0847   0.0220   0.0017
ecd    random     loss                      0.030 ideal              gdr_ridge            0.0887   0.0250   0.0018
ecd    random     loss                      0.030 ideal              gdr_holdout          0.0871   0.0266   0.0018
ecd    random     loss                      0.030 ideal              gdr_reg              0.0838   0.0245   0.0017
ecd    random     loss                      0.030 ideal              gdr_mid              0.0881   0.0162   0.0018
ecd    random     loss                      0.030 ideal              gdr_tfree            0.0870   0.0410   0.0017
ecd    random     loss                      0.030 ideal              gdr_residual         0.2287   0.1949   0.0002
ecd    random     loss                      0.030 ideal              gdr_afterburn        0.2287   0.1949   0.0002
ecd    random     loss                      0.030 ideal              gdr_blend            0.0910   0.0176   0.0017
ecd    random     loss                      0.030 ideal              zne_idle             0.1807   0.0874   0.0001
ecd    random     loss                      0.030 ideal              readout_then_zne     0.1807   0.0874   0.0001
ecd    random     loss                      0.030 ideal              zne_then_readout     0.1807   0.0874   0.0001
ecd    random     loss                      0.030 ideal              gdr_select           0.0871   0.0266   0.0018
ecd    random     loss                      0.030 readout_realistic  raw                  0.1539   0.0233   0.0008
ecd    random     loss                      0.030 readout_realistic  readout_only         0.1417   0.0223   0.0006
ecd    random     loss                      0.030 readout_realistic  oracle_binomial      0.2239   0.2073   0.0001
ecd    random     loss                      0.030 readout_realistic  gdr_param            0.0898   0.0466   0.0001
ecd    random     loss                      0.030 readout_realistic  gdr_damped           0.0839   0.0430   0.0000
ecd    random     loss                      0.030 readout_realistic  gdr_ridge            0.0887   0.0445   0.0001
ecd    random     loss                      0.030 readout_realistic  gdr_holdout          0.0899   0.0473   0.0001
ecd    random     loss                      0.030 readout_realistic  gdr_reg              0.0853   0.0448   0.0000
ecd    random     loss                      0.030 readout_realistic  gdr_mid              0.0898   0.0517   0.0000
ecd    random     loss                      0.030 readout_realistic  gdr_tfree            0.0858   0.0284   0.0001
