Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1141 dE=0.0830 GS=Y  readout_only.TVD=0.0695 dE=0.0406 GS=Y  oracle_binomial.TVD=0.0279 dE=0.0033 GS=Y  gdr_param.TVD=0.0244 dE=0.0026 GS=Y  gdr_select.TVD=0.0244 dE=0.0026 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0555   0.0018   0.0006   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0401   0.0005   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0453   0.0005   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0362   0.0005   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0401   0.0005   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0361   0.0005   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0452   0.0005   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0452   0.0005   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0362   0.0005   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0362   0.0005   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.1129   0.0000   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1550   0.0059   0.0004   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1522   0.0018   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.1849   0.0032   0.0006   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.1697   0.0006   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.1593   0.0007   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.0639   0.0007   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.0599   0.0007   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.0619   0.0008   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.2212   0.0011   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2212   0.0011   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.0639   0.0007   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.0599   0.0007   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.2337   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1691   0.0058   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1644   0.0037   0.0000   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.3845   0.0033   0.0004   N
