Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1396 dE=0.1347 GS=Y  readout_only.TVD=0.1214 dE=0.1110 GS=Y  oracle_binomial.TVD=0.1339 dE=0.0189 GS=Y  gdr_param.TVD=0.0706 dE=0.0182 GS=Y  gdr_select.TVD=0.0706 dE=0.0182 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_param            0.3065   0.0366   0.0253   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_damped           0.2812   0.1595   0.0910   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_mid              0.3858   0.2480   0.1508   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_residual         0.8167   0.6157   0.4023   N
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_afterburn        0.8167   0.6157   0.4023   N
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_blend            0.3213   0.0806   0.0441   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_select           0.3065   0.0366   0.0253   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_full             0.2444   0.1051   0.0946   Y
ecd    optimized  comprehensive             0.030 readout_realistic  scalar_cdr             —      0.4653     —      —
ecd    optimized  comprehensive             0.030 readout_realistic  zne_idle             0.3467   0.4612   0.2247   Y
ecd    optimized  comprehensive             0.030 readout_realistic  readout_then_zne     0.3453   0.4562   0.2207   Y
ecd    optimized  comprehensive             0.100 readout_realistic  raw                  0.7337   0.5084   0.3833   N
ecd    optimized  comprehensive             0.100 readout_realistic  readout_only         0.7347   0.5095   0.3828   N
ecd    optimized  comprehensive             0.100 readout_realistic  oracle_binomial      0.9631   1.0841   0.4023   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_param            0.8048   1.0126   0.3973   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_damped           0.7213   0.8365   0.3922   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_mid              0.8898   1.0331   0.4022   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_residual         0.8353   1.0071   0.4023   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_afterburn        0.8353   1.0071   0.4023   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_blend            0.8404   1.0305   0.3985   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_select           0.8048   1.0126   0.3973   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_full             0.5654   0.4721   0.3507   N
ecd    optimized  comprehensive             0.100 readout_realistic  scalar_cdr             —      0.3494     —      —
ecd    optimized  comprehensive             0.100 readout_realistic  zne_idle             0.6794   0.6169   0.3695   N
ecd    optimized  comprehensive             0.100 readout_realistic  readout_then_zne     0.6822   0.6179   0.3695   N
