Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.0905 dE=0.0544 GS=Y  readout_only.TVD=0.0687 dE=0.0362 GS=Y  oracle_binomial.TVD=0.0599 dE=0.0185 GS=Y  gdr_param.TVD=0.0695 dE=0.0018 GS=Y  gdr_select.TVD=0.0695 dE=0.0018 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0643   0.0078   0.0032   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0551   0.0047   0.0023   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0706   0.0004   0.0019   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0526   0.0023   0.0024   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0526   0.0023   0.0024   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0521   0.0035   0.0022   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0693   0.0121   0.0019   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0693   0.0121   0.0019   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0532   0.0019   0.0023   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0526   0.0023   0.0024   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.3250   0.0141   0.0016   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0015     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1819   0.0138   0.0028   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1899   0.0114   0.0018   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.1108   0.0111   0.0061   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.1037   0.0079   0.0053   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.1650   0.0116   0.0021   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.0819   0.0152   0.0020   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0819   0.0152   0.0020   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.0724   0.0110   0.0019   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.1489   0.0027   0.0025   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.1489   0.0027   0.0025   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.0819   0.0152   0.0020   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.0815   0.0150   0.0020   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.3387   0.0075   0.0025   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0392     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1686   0.0266   0.0004   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1740   0.0245   0.0019   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.2789   0.0251   0.0086   N
