Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1731 dE=0.1612 GS=Y  readout_only.TVD=0.1264 dE=0.1193 GS=Y  oracle_binomial.TVD=0.1006 dE=0.1013 GS=Y  gdr_param.TVD=0.0867 dE=0.0927 GS=Y  gdr_select.TVD=0.0867 dE=0.0927 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0578   0.0071   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0420   0.0031   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0416   0.0034   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0347   0.0032   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0420   0.0031   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0363   0.0032   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0426   0.0034   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0426   0.0034   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0347   0.0032   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0363   0.0032   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.0979   0.0000   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1359   0.0038   0.0005   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1377   0.0017   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.1944   0.0044   0.0002   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.1826   0.0010   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3347   0.0007   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.1206   0.0007   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.1176   0.0007   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.1196   0.0006   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.3130   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.3130   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.1206   0.0007   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.1176   0.0007   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.3333   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1489   0.0046   0.0005   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1455   0.0019   0.0003   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.4180   0.0023   0.0000   N
