Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1626 dE=0.1124  readout_only.TVD=0.1326 dE=0.0827  oracle_binomial.TVD=0.0852 dE=0.0339  gdr_param.TVD=0.0884 dE=0.0199  gdr_select.TVD=0.0884 dE=0.0199

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0754   0.0009   0.0041
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0666   0.0014   0.0038
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0806   0.0105   0.0018
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0595   0.0003   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0595   0.0003   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0599   0.0013   0.0001
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0805   0.0087   0.0018
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0805   0.0087   0.0018
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0640   0.0051   0.0009
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0806   0.0105   0.0018
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.2027   0.0047   0.0199
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —   
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1905   0.0285   0.0060
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1946   0.0280   0.0067
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.2181   0.0041   0.0127
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.2147   0.0062   0.0126
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2640   0.0184   0.0387
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1400   0.0243   0.0026
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.1319   0.0216   0.0003
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1420   0.0277   0.0038
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.2643   0.0167   0.0095
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2643   0.0167   0.0095
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1400   0.0240   0.0044
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1319   0.0216   0.0003
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.2353   0.0355   0.0034
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0014     —   
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1913   0.0099   0.0080
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1940   0.0086   0.0083
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.4341   0.0043   0.0209
ecd    random     comprehensive             0.100 readout_realistic  readout_only         0.4358   0.0058   0.0209
ecd    random     comprehensive             0.100 readout_realistic  oracle_binomial      0.6507   0.0048   0.0949
