Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1221 dE=0.0532 GS=Y  readout_only.TVD=0.0705 dE=0.0254 GS=Y  oracle_binomial.TVD=0.0263 dE=0.0041 GS=Y  gdr_param.TVD=0.0284 dE=0.0103 GS=Y  gdr_select.TVD=0.0284 dE=0.0103 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0316   0.0016   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0274   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0287   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0277   0.0002   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0274   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0278   0.0002   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0287   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0287   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0277   0.0002   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0278   0.0002   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.4618   0.0000   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1128   0.0050   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1176   0.0035   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.0641   0.0027   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.0590   0.0005   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.0807   0.0003   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.0407   0.0003   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.0397   0.0004   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.0407   0.0003   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.0815   0.0003   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.0815   0.0003   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.0407   0.0003   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.0407   0.0003   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.7278   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1407   0.0085   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1424   0.0060   0.0000   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.1546   0.0032   0.0000   N
