Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.2359 dE=0.2064  readout_only.TVD=0.1825 dE=0.1550  oracle_binomial.TVD=0.0972 dE=0.0318  gdr_param.TVD=0.1140 dE=0.0851  gdr_select.TVD=0.1140 dE=0.0851

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_afterburn        0.9081   0.6642   0.6843
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_blend            0.4478   0.3805   0.3459
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_select           0.4478   0.3805   0.3459
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_full             0.2732   0.1216   0.1283
ecd    optimized  comprehensive             0.030 readout_realistic  scalar_cdr             —      0.5590     —   
ecd    optimized  comprehensive             0.030 readout_realistic  zne_idle             0.5426   0.4251   0.4197
ecd    optimized  comprehensive             0.030 readout_realistic  readout_then_zne     0.5231   0.4065   0.4037
ecd    optimized  comprehensive             0.100 readout_realistic  raw                  0.8253   0.7860   0.6839
ecd    optimized  comprehensive             0.100 readout_realistic  readout_only         0.8249   0.7822   0.6835
ecd    optimized  comprehensive             0.100 readout_realistic  oracle_binomial      0.9696   0.6743   0.6991
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_param            0.9509   0.7214   0.6990
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_damped           0.9295   0.7245   0.6982
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_mid              0.9508   0.7065   0.6991
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_residual         0.9677   0.6743   0.6991
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_afterburn        0.9677   0.6743   0.6991
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_blend            0.9509   0.7214   0.6990
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_select           0.9509   0.7214   0.6990
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_full             0.9290   0.7304   0.6991
ecd    optimized  comprehensive             0.100 readout_realistic  scalar_cdr             —      0.8212     —   
ecd    optimized  comprehensive             0.100 readout_realistic  zne_idle             0.7986   0.7388   0.6676
ecd    optimized  comprehensive             0.100 readout_realistic  readout_then_zne     0.7978   0.7363   0.6668
