SNAP vs ECD  preset=paper  ECD N_d=5  SNAP N_d=[1, 2]  trials=50  maxiter=200  workers=7
reusing ECD from paper_result/out/fig5.json  (n=50)
=== SNAP-VQE  N_d=1  params=18  trials=50  maxiter=200  workers=7 ===
[77/100] snap t40  gibbs  P*=0.0000  E=3.209  bits=0000111  nit=6
[78/100] snap t35  gibbs  P*=0.0660  E=6.208  bits=0101000  nit=6
[79/100] snap t38  energy  P*=0.0126  E=1.738  bits=0111000  nit=7
[80/100] snap t36  energy  P*=0.0126  E=1.738  bits=0111000  nit=18
[81/100] snap t41  gibbs  P*=0.0660  E=6.161  bits=0101000  nit=20
[82/100] snap t39  energy  P*=0.0126  E=1.738  bits=0111000  nit=18
[83/100] snap t40  energy  P*=0.0000  E=3.129  bits=0000111  nit=11
[84/100] snap t44  gibbs  P*=0.0483  E=4.104  bits=0101000  nit=10
[85/100] snap t42  energy  P*=0.0126  E=1.738  bits=0111000  nit=15
[86/100] snap t41  energy  P*=0.0126  E=1.738  bits=0111000  nit=19
[87/100] snap t45  energy  P*=0.0126  E=1.738  bits=0111000  nit=11
[88/100] snap t43  energy  P*=0.0000  E=3.129  bits=0000111  nit=10
[89/100] snap t42  gibbs  P*=0.0660  E=6.148  bits=0101000  nit=6
[90/100] snap t43  gibbs  P*=0.0659  E=6.259  bits=0101000  nit=6
[91/100] snap t45  gibbs  P*=0.0659  E=6.243  bits=0101000  nit=6
[92/100] snap t44  energy  P*=0.0126  E=1.738  bits=0111000  nit=18
[93/100] snap t48  gibbs  P*=0.0002  E=18.659  bits=0010101  nit=1
[94/100] snap t46  energy  P*=0.0126  E=1.738  bits=0111000  nit=14
[95/100] snap t49  gibbs  P*=0.0658  E=6.300  bits=0101000  nit=11
[96/100] snap t46  gibbs  P*=0.0657  E=6.371  bits=0101000  nit=11
[97/100] snap t47  energy  P*=0.0126  E=1.738  bits=0111000  nit=18
[98/100] snap t47  gibbs  P*=0.0484  E=3.714  bits=0101000  nit=6
[99/100] snap t48  energy  P*=0.0000  E=3.129  bits=0000111  nit=11
[100/100] snap t49  energy  P*=0.0126  E=1.738  bits=0111000  nit=16
  snap energy: 0/50 hit GS  best P*=0.0144  mean P*=0.0106
  snap gibbs: 0/50 hit GS  best P*=0.0661  mean P*=0.0541
  paired: Gibbs-only 0  energy-only 0  both 0  neither 50
  wall 53.0s
=== SNAP-VQE  N_d=2  params=36  trials=50  maxiter=200  workers=7 ===
[1/100] snap t0  gibbs  P*=0.0364  E=25.571  bits=0111000  nit=1
[2/100] snap t1  gibbs  P*=0.0514  E=15.173  bits=0100011  nit=1
[3/100] snap t2  gibbs  P*=0.4019  E=4.670  bits=0110000  nit=6
[4/100] snap t4  gibbs  P*=0.2215  E=19.979  bits=0110000  nit=6
[5/100] snap t3  gibbs  P*=0.8238  E=-2.666  bits=0110000  nit=47
[6/100] snap t1  energy  P*=0.0126  E=1.738  bits=0111000  nit=30
[7/100] snap t5  gibbs  P*=0.4189  E=12.132  bits=0110000  nit=6
[8/100] snap t3  energy  P*=0.0000  E=-3.067  bits=0100001  nit=54
[9/100] snap t0  energy  P*=0.0001  E=-4.893  bits=0010110  nit=92
[10/100] snap t4  energy  P*=0.9110  E=-11.486  bits=0110000  nit=85
[11/100] snap t2  energy  P*=0.9127  E=-11.255  bits=0110000  nit=97
[12/100] snap t7  gibbs  P*=0.3944  E=6.343  bits=0110000  nit=11
[13/100] snap t5  energy  P*=0.0000  E=3.037  bits=0000111  nit=103
[14/100] snap t6  gibbs  P*=0.7831  E=-0.855  bits=0110000  nit=57
[15/100] snap t9  gibbs  P*=0.0008  E=17.626  bits=0100110  nit=6
[16/100] snap t10  gibbs  P*=0.4786  E=5.622  bits=0110000  nit=6
[17/100] snap t8  gibbs  P*=0.9807  E=-10.899  bits=0110000  nit=44
[18/100] snap t11  gibbs  P*=0.3604  E=6.949  bits=0110000  nit=6
[19/100] snap t7  energy  P*=0.0422  E=-7.484  bits=0110100  nit=79
[20/100] snap t6  energy  P*=0.9010  E=-11.397  bits=0110000  nit=113
[21/100] snap t10  energy  P*=0.0000  E=-2.554  bits=0100001  nit=53
[22/100] snap t8  energy  P*=0.0000  E=-5.644  bits=0010110  nit=67
[23/100] snap t9  energy  P*=0.0000  E=1.313  bits=0000111  nit=75
[24/100] snap t11  energy  P*=0.9127  E=-11.255  bits=0110000  nit=72
[25/100] snap t13  gibbs  P*=0.6681  E=-4.294  bits=0110000  nit=26
[26/100] snap t12  energy  P*=0.9127  E=-11.255  bits=0110000  nit=66
[27/100] snap t15  gibbs  P*=0.0981  E=18.473  bits=0001000  nit=11
[28/100] snap t16  gibbs  P*=0.0052  E=26.301  bits=0000110  nit=1
