Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1336 dE=0.0886 GS=Y  readout_only.TVD=0.0857 dE=0.0553 GS=Y  oracle_binomial.TVD=0.0302 dE=0.0073 GS=Y  gdr_param.TVD=0.0316 dE=0.0124 GS=Y  gdr_select.TVD=0.0316 dE=0.0124 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0794   0.0009   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0614   0.0004   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0536   0.0004   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0516   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0578   0.0004   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0506   0.0004   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0439   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0439   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0513   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0516   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.7835   0.0000   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1577   0.0029   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1616   0.0023   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.2445   0.0009   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.2361   0.0006   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2428   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.1980   0.0002   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.1961   0.0003   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.1927   0.0003   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.2145   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2145   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.1959   0.0002   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.1961   0.0003   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.7538   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.2072   0.0016   0.0004   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1964   0.0006   0.0004   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.3588   0.0011   0.0000   N
