Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1646 dE=0.1530  readout_only.TVD=0.1084 dE=0.0959  oracle_binomial.TVD=0.0275 dE=0.0065  gdr_param.TVD=0.0313 dE=0.0067  gdr_select.TVD=0.0313 dE=0.0067

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.100 readout_realistic  gdr_damped           0.3694   0.0007   0.0000
snap   random     comprehensive             0.100 readout_realistic  gdr_mid              0.4869   0.0006   0.0000
snap   random     comprehensive             0.100 readout_realistic  gdr_residual         0.7878   0.0000   0.0000
snap   random     comprehensive             0.100 readout_realistic  gdr_afterburn        0.7878   0.0000   0.0000
snap   random     comprehensive             0.100 readout_realistic  gdr_blend            0.5221   0.0003   0.0000
snap   random     comprehensive             0.100 readout_realistic  gdr_select           0.4627   0.0004   0.0000
snap   random     comprehensive             0.100 readout_realistic  gdr_full             0.8585   0.0000   0.0000
snap   random     comprehensive             0.100 readout_realistic  scalar_cdr             —      0.0000     —   
snap   random     comprehensive             0.100 readout_realistic  zne_idle             0.2963   0.0053   0.0000
snap   random     comprehensive             0.100 readout_realistic  readout_then_zne     0.2924   0.0010   0.0000
snap   optimized  comprehensive             0.003 readout_realistic  raw                  0.1646   0.1530   0.1273
snap   optimized  comprehensive             0.003 readout_realistic  readout_only         0.1084   0.0959   0.0778
snap   optimized  comprehensive             0.003 readout_realistic  oracle_binomial      0.0275   0.0065   0.0054
snap   optimized  comprehensive             0.003 readout_realistic  gdr_param            0.0313   0.0067   0.0042
snap   optimized  comprehensive             0.003 readout_realistic  gdr_damped           0.0367   0.0201   0.0153
snap   optimized  comprehensive             0.003 readout_realistic  gdr_mid              0.0354   0.0076   0.0075
snap   optimized  comprehensive             0.003 readout_realistic  gdr_residual         0.0283   0.0090   0.0074
snap   optimized  comprehensive             0.003 readout_realistic  gdr_afterburn        0.0283   0.0090   0.0074
snap   optimized  comprehensive             0.003 readout_realistic  gdr_blend            0.0313   0.0067   0.0042
snap   optimized  comprehensive             0.003 readout_realistic  gdr_select           0.0313   0.0067   0.0042
snap   optimized  comprehensive             0.003 readout_realistic  gdr_full             0.4519   0.2773   0.3062
snap   optimized  comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0557     —   
snap   optimized  comprehensive             0.003 readout_realistic  zne_idle             0.1559   0.1019   0.0956
snap   optimized  comprehensive             0.003 readout_realistic  readout_then_zne     0.1142   0.0446   0.0464
snap   optimized  comprehensive             0.030 readout_realistic  raw                  0.3830   0.5045   0.3303
snap   optimized  comprehensive             0.030 readout_realistic  readout_only         0.3563   0.4798   0.3023
snap   optimized  comprehensive             0.030 readout_realistic  oracle_binomial      0.0750   0.0483   0.0466
snap   optimized  comprehensive             0.030 readout_realistic  gdr_param            0.0794   0.0423   0.0225
snap   optimized  comprehensive             0.030 readout_realistic  gdr_damped           0.1806   0.2173   0.1344
snap   optimized  comprehensive             0.030 readout_realistic  gdr_mid              0.0970   0.0739   0.0405
snap   optimized  comprehensive             0.030 readout_realistic  gdr_residual         0.0615   0.0210   0.0096
snap   optimized  comprehensive             0.030 readout_realistic  gdr_afterburn        0.0615   0.0210   0.0096
snap   optimized  comprehensive             0.030 readout_realistic  gdr_blend            0.0794   0.0423   0.0225
snap   optimized  comprehensive             0.030 readout_realistic  gdr_select           0.0794   0.0423   0.0225
snap   optimized  comprehensive             0.030 readout_realistic  gdr_full             0.9012   0.7889   0.6663
snap   optimized  comprehensive             0.030 readout_realistic  scalar_cdr             —      0.2462     —   
