Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.2420 dE=0.2040  readout_only.TVD=0.1864 dE=0.1526  oracle_binomial.TVD=0.1090 dE=0.0439  gdr_param.TVD=0.1273 dE=0.0974  gdr_select.TVD=0.1273 dE=0.0974

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_afterburn        0.9221   0.6688   0.6916
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_blend            0.5433   0.4177   0.4016
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_select           0.4558   0.3549   0.3291
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_full             0.4108   0.1657   0.1898
ecd    optimized  comprehensive             0.030 readout_realistic  scalar_cdr             —      0.5982     —   
ecd    optimized  comprehensive             0.030 readout_realistic  zne_idle             0.5452   0.4206   0.4220
ecd    optimized  comprehensive             0.030 readout_realistic  readout_then_zne     0.5297   0.3996   0.4046
ecd    optimized  comprehensive             0.100 readout_realistic  raw                  0.8281   0.7885   0.6851
ecd    optimized  comprehensive             0.100 readout_realistic  readout_only         0.8273   0.7856   0.6846
ecd    optimized  comprehensive             0.100 readout_realistic  oracle_binomial      0.9678   0.6743   0.6991
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_param            0.9449   0.7142   0.6988
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_damped           0.9129   0.7213   0.6973
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_mid              0.9550   0.6878   0.6991
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_residual         0.9672   0.6743   0.6991
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_afterburn        0.9672   0.6743   0.6991
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_blend            0.9452   0.7122   0.6988
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_select           0.9449   0.7142   0.6988
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_full             0.9144   0.6846   0.6991
ecd    optimized  comprehensive             0.100 readout_realistic  scalar_cdr             —      0.9080     —   
ecd    optimized  comprehensive             0.100 readout_realistic  zne_idle             0.8033   0.7323   0.6744
ecd    optimized  comprehensive             0.100 readout_realistic  readout_then_zne     0.8022   0.7275   0.6739
