Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.0819 dE=0.0064 GS=N  readout_only.TVD=0.0496 dE=0.0069 GS=N  oracle_binomial.TVD=0.0436 dE=0.0085 GS=Y  gdr_param.TVD=0.0412 dE=0.0046 GS=Y  gdr_select.TVD=0.0412 dE=0.0046 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_param            0.0993   0.0006   0.0068   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_damped           0.0909   0.0046   0.0001   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_mid              0.0967   0.0055   0.0053   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_residual         0.1332   0.0071   0.0105   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_afterburn        0.1332   0.0071   0.0105   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_blend            0.1025   0.0002   0.0046   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_select           0.0993   0.0006   0.0068   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_full             0.7621   0.0947   0.1762   N
ecd    optimized  comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0220     —      —
ecd    optimized  comprehensive             0.030 readout_realistic  zne_idle             0.1230   0.0375   0.0304   N
ecd    optimized  comprehensive             0.030 readout_realistic  readout_then_zne     0.1109   0.0408   0.0233   N
ecd    optimized  comprehensive             0.100 readout_realistic  raw                  0.5073   0.1962   0.1223   N
ecd    optimized  comprehensive             0.100 readout_realistic  readout_only         0.5035   0.2030   0.1200   N
ecd    optimized  comprehensive             0.100 readout_realistic  oracle_binomial      0.4153   0.0007   0.0893   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_param            0.3536   0.0811   0.0794   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_damped           0.3472   0.0872   0.0814   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_mid              0.3880   0.0634   0.0857   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_residual         0.4087   0.0695   0.0969   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_afterburn        0.4087   0.0695   0.0969   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_blend            0.3536   0.0811   0.0794   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_select           0.3536   0.0811   0.0794   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_full             0.8289   0.0408   0.1798   N
ecd    optimized  comprehensive             0.100 readout_realistic  scalar_cdr             —      0.1556     —      —
ecd    optimized  comprehensive             0.100 readout_realistic  zne_idle             0.4271   0.0497   0.0982   N
ecd    optimized  comprehensive             0.100 readout_realistic  readout_then_zne     0.4246   0.0520   0.0960   N
