Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.0894 dE=0.0073 GS=Y  readout_only.TVD=0.0576 dE=0.0074 GS=Y  oracle_binomial.TVD=0.0460 dE=0.0039 GS=Y  gdr_param.TVD=0.0469 dE=0.0024 GS=Y  gdr_select.TVD=0.0469 dE=0.0024 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0619   0.0010   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0436   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0275   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0280   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0396   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0276   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0254   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0256   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0280   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0280   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.9015   0.0000   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1095   0.0056   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1031   0.0032   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.2204   0.0020   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.2101   0.0004   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.0562   0.0002   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.0520   0.0002   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.0520   0.0002   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.0518   0.0002   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.0532   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.0545   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.0520   0.0002   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.0543   0.0002   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.6767   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1434   0.0047   0.0017   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1353   0.0028   0.0010   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.4256   0.0025   0.0003   N
