Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1658 dE=0.0888 GS=Y  readout_only.TVD=0.1233 dE=0.0611 GS=Y  oracle_binomial.TVD=0.0613 dE=0.0089 GS=Y  gdr_param.TVD=0.0653 dE=0.0111 GS=Y  gdr_select.TVD=0.0653 dE=0.0111 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0566   0.0071   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0401   0.0030   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0501   0.0168   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0798   0.0208   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0798   0.0208   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0411   0.0258   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0472   0.0228   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0472   0.0228   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0798   0.0208   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0411   0.0258   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.3231   0.0456   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.1926     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1042   0.0244   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.0995   0.0225   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.0716   0.0020   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.0557   0.0057   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.1097   0.0042   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.0735   0.0238   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0735   0.0238   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.0558   0.0250   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.0976   0.0287   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.0976   0.0287   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.0735   0.0238   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.0558   0.0250   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.4078   0.1637   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.1559     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.0780   0.0088   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.0798   0.0043   0.0000   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.1307   0.0472   0.0000   N
