Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1951 dE=0.1601  readout_only.TVD=0.1480 dE=0.1138  oracle_binomial.TVD=0.0467 dE=0.0025  gdr_param.TVD=0.0563 dE=0.0170  gdr_select.TVD=0.0563 dE=0.0170

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0504   0.0024   0.0000
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0431   0.0024   0.0000
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0523   0.0016   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0453   0.0007   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0431   0.0024   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0456   0.0010   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0513   0.0011   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0513   0.0011   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0453   0.0007   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0433   0.0017   0.0000
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.0557   0.0018   0.0000
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0026     —   
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1711   0.0004   0.0005
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1664   0.0005   0.0000
snap   random     comprehensive             0.030 readout_realistic  raw                  0.1864   0.0121   0.0001
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.1808   0.0124   0.0000
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3686   0.0127   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.2286   0.0256   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.2142   0.0229   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.2244   0.0212   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.3070   0.0006   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.3070   0.0006   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.2293   0.0236   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.2046   0.0209   0.0000
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.3589   0.0061   0.0000
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0157     —   
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1419   0.0038   0.0004
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1418   0.0039   0.0001
snap   random     comprehensive             0.100 readout_realistic  raw                  0.3322   0.0394   0.0000
snap   random     comprehensive             0.100 readout_realistic  readout_only         0.3301   0.0394   0.0000
snap   random     comprehensive             0.100 readout_realistic  oracle_binomial      0.8155   0.0448   0.0000
snap   random     comprehensive             0.100 readout_realistic  gdr_param            0.4476   0.0379   0.0000
