Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.2082 dE=0.1831 GS=Y  readout_only.TVD=0.1521 dE=0.1314 GS=Y  oracle_binomial.TVD=0.0270 dE=0.0108 GS=Y  gdr_param.TVD=0.0227 dE=0.0047 GS=Y  gdr_select.TVD=0.0227 dE=0.0047 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0677   0.0002   0.0005   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0555   0.0001   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0652   0.0001   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0520   0.0001   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0534   0.0001   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0523   0.0001   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0585   0.0001   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0585   0.0001   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0520   0.0001   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0514   0.0001   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.1291   0.0000   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1366   0.0022   0.0010   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1318   0.0010   0.0007   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.2504   0.0010   0.0005   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.2409   0.0000   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.4625   0.0005   0.0005   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.2648   0.0003   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.2268   0.0002   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.2810   0.0003   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.4652   0.0005   0.0005   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.4652   0.0005   0.0005   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.2648   0.0003   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.2223   0.0002   0.0003   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.3282   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.2071   0.0037   0.0007   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.2051   0.0022   0.0003   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.4585   0.0020   0.0001   N
