Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.0716 dE=0.0216 GS=Y  readout_only.TVD=0.0495 dE=0.0145 GS=Y  oracle_binomial.TVD=0.0319 dE=0.0059 GS=Y  gdr_param.TVD=0.0300 dE=0.0063 GS=Y  gdr_select.TVD=0.0300 dE=0.0063 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0586   0.0039   0.0038   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0400   0.0002   0.0025   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0268   0.0048   0.0003   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0274   0.0018   0.0006   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0367   0.0004   0.0020   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0274   0.0018   0.0006   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0272   0.0049   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0272   0.0049   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0274   0.0018   0.0006   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0280   0.0014   0.0002   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.7278   0.0362   0.0100   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0004     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1464   0.0191   0.0184   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1455   0.0246   0.0171   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.2344   0.0218   0.0220   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.2240   0.0203   0.0209   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.0561   0.0043   0.0019   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.0462   0.0135   0.0023   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.0486   0.0138   0.0012   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.0461   0.0135   0.0024   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.0560   0.0033   0.0010   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.0560   0.0033   0.0010   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.0462   0.0135   0.0023   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.0461   0.0135   0.0024   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.7131   0.1465   0.0447   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0214     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1511   0.0535   0.0084   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1512   0.0547   0.0110   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.4209   0.0156   0.0507   N
