Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1868 dE=0.1737 GS=Y  readout_only.TVD=0.1411 dE=0.1349 GS=Y  oracle_binomial.TVD=0.0598 dE=0.0199 GS=Y  gdr_param.TVD=0.0560 dE=0.0129 GS=Y  gdr_select.TVD=0.0560 dE=0.0129 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0797   0.0103   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0646   0.0037   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0590   0.0163   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0521   0.0050   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0521   0.0050   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0514   0.0064   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0555   0.0169   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0555   0.0169   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0521   0.0050   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0521   0.0050   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.0750   0.0090   0.0002   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0040     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1834   0.0110   0.0010   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1916   0.0181   0.0010   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.1624   0.0297   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.1525   0.0247   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.1436   0.0393   0.0010   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.0971   0.0116   0.0004   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0950   0.0097   0.0004   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.0957   0.0108   0.0004   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.1549   0.0476   0.0010   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.1549   0.0476   0.0010   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.0971   0.0116   0.0004   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.0957   0.0108   0.0004   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.1812   0.0463   0.0013   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0161     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1605   0.0267   0.0006   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1608   0.0219   0.0006   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.3452   0.0597   0.0000   N
