Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1298 dE=0.0372 GS=Y  readout_only.TVD=0.1006 dE=0.0222 GS=Y  oracle_binomial.TVD=0.0825 dE=0.0039 GS=Y  gdr_param.TVD=0.0735 dE=0.0014 GS=Y  gdr_select.TVD=0.0735 dE=0.0014 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0639   0.0085   0.0018   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0594   0.0080   0.0015   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0696   0.0149   0.0008   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0601   0.0099   0.0012   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0594   0.0080   0.0015   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0597   0.0099   0.0012   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0722   0.0119   0.0006   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0722   0.0119   0.0006   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0616   0.0109   0.0011   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0592   0.0090   0.0013   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.4306   0.0423   0.0006   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0168     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1795   0.0496   0.0128   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1833   0.0517   0.0130   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.0976   0.0035   0.0005   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.0945   0.0027   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2022   0.0012   0.0009   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.0863   0.0030   0.0011   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0821   0.0015   0.0008   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.0901   0.0032   0.0008   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.1929   0.0032   0.0026   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.1929   0.0032   0.0026   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.0863   0.0030   0.0011   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.0885   0.0015   0.0011   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.5270   0.0072   0.0046   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0110     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1826   0.0071   0.0050   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1923   0.0080   0.0058   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.2080   0.0177   0.0025   N
