Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.2238 dE=0.2308 GS=Y  readout_only.TVD=0.1685 dE=0.1721 GS=Y  oracle_binomial.TVD=0.0609 dE=0.0075 GS=Y  gdr_param.TVD=0.0573 dE=0.0067 GS=Y  gdr_select.TVD=0.0573 dE=0.0067 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0417   0.0151   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0350   0.0145   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0556   0.0178   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0371   0.0120   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0350   0.0145   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0373   0.0124   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0532   0.0130   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0532   0.0130   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0371   0.0120   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0368   0.0122   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.0888   0.0216   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0131     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1220   0.0165   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1220   0.0170   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.1414   0.0313   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.1336   0.0308   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3339   0.1016   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.1895   0.0405   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.1767   0.0386   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.1895   0.0428   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.3892   0.0497   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.3892   0.0497   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.1895   0.0405   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.1767   0.0386   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.3431   0.0156   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0445     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1135   0.0137   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1141   0.0181   0.0000   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.2339   0.0171   0.0000   N
