Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.0786 dE=0.0250 GS=Y  readout_only.TVD=0.0622 dE=0.0136 GS=Y  oracle_binomial.TVD=0.0632 dE=0.0033 GS=Y  gdr_param.TVD=0.0620 dE=0.0071 GS=Y  gdr_select.TVD=0.0620 dE=0.0071 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0628   0.0005   0.0007   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0563   0.0003   0.0010   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0607   0.0021   0.0016   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0533   0.0002   0.0013   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0543   0.0002   0.0011   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0544   0.0003   0.0013   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0623   0.0001   0.0018   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0623   0.0001   0.0018   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0533   0.0002   0.0013   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0533   0.0002   0.0013   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.5661   0.0229   0.0259   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0012     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1637   0.0039   0.0014   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1695   0.0043   0.0016   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.0860   0.0044   0.0023   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.0775   0.0043   0.0023   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.1313   0.0108   0.0036   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.0574   0.0004   0.0022   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0576   0.0008   0.0022   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.0576   0.0004   0.0023   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.1588   0.0040   0.0041   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.1588   0.0040   0.0041   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.0574   0.0004   0.0022   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.0576   0.0004   0.0023   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.4149   0.0302   0.0204   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0006     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1697   0.0018   0.0016   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1750   0.0021   0.0019   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.1877   0.0133   0.0038   N
