Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1487 dE=0.0968 GS=Y  readout_only.TVD=0.0933 dE=0.0546 GS=Y  oracle_binomial.TVD=0.0313 dE=0.0210 GS=Y  gdr_param.TVD=0.0329 dE=0.0226 GS=Y  gdr_select.TVD=0.0329 dE=0.0226 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0564   0.0020   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0401   0.0010   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0438   0.0009   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0341   0.0010   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0401   0.0010   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0341   0.0010   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0459   0.0009   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0459   0.0009   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0341   0.0010   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0340   0.0010   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.0726   0.0000   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1381   0.0024   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1379   0.0013   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.1945   0.0015   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.1843   0.0005   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2355   0.0004   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.1347   0.0003   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.1162   0.0004   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.1327   0.0003   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.2123   0.0005   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2123   0.0005   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.1370   0.0004   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.1162   0.0004   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.3273   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1545   0.0023   0.0008   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1490   0.0010   0.0002   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.3526   0.0023   0.0002   N
