Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1649 dE=0.1489 GS=Y  readout_only.TVD=0.1080 dE=0.0913 GS=Y  oracle_binomial.TVD=0.0273 dE=0.0122 GS=Y  gdr_param.TVD=0.0294 dE=0.0037 GS=Y  gdr_select.TVD=0.0294 dE=0.0037 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0562   0.0046   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0489   0.0021   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0663   0.0022   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0528   0.0021   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0489   0.0021   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0528   0.0021   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0784   0.0022   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0784   0.0022   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0528   0.0021   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0489   0.0021   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.1000   0.0000   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1610   0.0042   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1664   0.0022   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.2018   0.0027   0.0001   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.1942   0.0008   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3343   0.0005   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.1188   0.0006   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.1140   0.0007   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.1175   0.0006   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.2197   0.0004   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2197   0.0004   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.1216   0.0006   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.1164   0.0007   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.2354   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.2064   0.0055   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.2045   0.0012   0.0000   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.3281   0.0027   0.0002   N
