Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1725 dE=0.0968 GS=Y  readout_only.TVD=0.1452 dE=0.0740 GS=Y  oracle_binomial.TVD=0.1198 dE=0.0235 GS=Y  gdr_param.TVD=0.1162 dE=0.0175 GS=Y  gdr_select.TVD=0.1162 dE=0.0175 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0835   0.0005   0.0038   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0728   0.0001   0.0038   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0702   0.0091   0.0055   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0628   0.0009   0.0039   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0658   0.0004   0.0038   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0625   0.0004   0.0039   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0718   0.0095   0.0056   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0718   0.0095   0.0056   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0628   0.0009   0.0039   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0625   0.0004   0.0039   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.4756   0.0294   0.0123   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0024     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1865   0.0427   0.0087   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1921   0.0438   0.0090   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.1853   0.0017   0.0040   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.1809   0.0025   0.0047   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.4148   0.0468   0.0143   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1363   0.0182   0.0026   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.1298   0.0151   0.0029   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1311   0.0233   0.0023   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.4213   0.0264   0.0145   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.4213   0.0264   0.0145   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1363   0.0182   0.0026   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1286   0.0140   0.0030   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.4025   0.0184   0.0026   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0074     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1691   0.0135   0.0013   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1681   0.0120   0.0020   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.3587   0.0087   0.0008   N
