Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.0902 dE=0.0279 GS=Y  readout_only.TVD=0.0511 dE=0.0125 GS=Y  oracle_binomial.TVD=0.0290 dE=0.0048 GS=Y  gdr_param.TVD=0.0303 dE=0.0042 GS=Y  gdr_select.TVD=0.0303 dE=0.0042 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0400   0.0083   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0252   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0210   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0200   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0235   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0201   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0209   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0209   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0200   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0196   0.0005   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.5619   0.1422   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.0834   0.0073   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.0831   0.0022   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.1590   0.0072   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.1506   0.0002   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.0399   0.0002   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.0403   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.0403   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.0404   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.0432   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.0439   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.0403   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.0405   0.0001   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.7301   0.1415   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.0938   0.0059   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.0846   0.0027   0.0000   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.3312   0.0048   0.0000   N
