Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1667 dE=0.1089 GS=Y  readout_only.TVD=0.1341 dE=0.0828 GS=Y  oracle_binomial.TVD=0.1052 dE=0.0388 GS=Y  gdr_param.TVD=0.0969 dE=0.0123 GS=Y  gdr_select.TVD=0.0969 dE=0.0123 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_param            0.3739   0.1480   0.1629   N
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_damped           0.3174   0.2583   0.1865   N
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_mid              0.2843   0.1543   0.1390   N
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_residual         0.4112   0.0983   0.1383   N
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_afterburn        0.4112   0.0983   0.1383   N
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_blend            0.3692   0.1516   0.1652   N
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_select           0.3739   0.1480   0.1629   N
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_full             0.5112   0.2888   0.2232   N
ecd    optimized  comprehensive             0.030 readout_realistic  scalar_cdr             —      0.3249     —      —
ecd    optimized  comprehensive             0.030 readout_realistic  zne_idle             0.3322   0.2173   0.1651   N
ecd    optimized  comprehensive             0.030 readout_realistic  readout_then_zne     0.3182   0.2060   0.1580   N
ecd    optimized  comprehensive             0.100 readout_realistic  raw                  0.5824   0.4762   0.2844   N
ecd    optimized  comprehensive             0.100 readout_realistic  readout_only         0.5818   0.4820   0.2840   N
ecd    optimized  comprehensive             0.100 readout_realistic  oracle_binomial      0.9022   0.3065   0.3033   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_param            0.9534   0.2424   0.3034   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_damped           0.5860   0.4701   0.2850   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_mid              0.5594   0.4758   0.2867   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_residual         0.8266   0.3234   0.3034   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_afterburn        0.8266   0.3234   0.3034   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_blend            0.8954   0.2681   0.3034   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_select           0.9534   0.2424   0.3034   N
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_full             0.7829   0.7948   0.2982   N
ecd    optimized  comprehensive             0.100 readout_realistic  scalar_cdr             —      0.4797     —      —
ecd    optimized  comprehensive             0.100 readout_realistic  zne_idle             0.5645   0.4873   0.2639   N
ecd    optimized  comprehensive             0.100 readout_realistic  readout_then_zne     0.5648   0.4920   0.2629   N
