Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1550 dE=0.1413 GS=Y  readout_only.TVD=0.0928 dE=0.0819 GS=Y  oracle_binomial.TVD=0.0325 dE=0.0129 GS=Y  gdr_param.TVD=0.0438 dE=0.0338 GS=Y  gdr_select.TVD=0.0438 dE=0.0338 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   optimized  comprehensive             0.030 readout_realistic  gdr_damped           0.1436   0.1569   0.0920   Y
snap   optimized  comprehensive             0.030 readout_realistic  gdr_mid              0.1403   0.1348   0.0794   Y
snap   optimized  comprehensive             0.030 readout_realistic  gdr_residual         0.1233   0.0456   0.0418   Y
snap   optimized  comprehensive             0.030 readout_realistic  gdr_afterburn        0.1233   0.0456   0.0418   Y
snap   optimized  comprehensive             0.030 readout_realistic  gdr_blend            0.1319   0.1283   0.0713   Y
snap   optimized  comprehensive             0.030 readout_realistic  gdr_select           0.1358   0.1336   0.0727   Y
snap   optimized  comprehensive             0.030 readout_realistic  gdr_full             0.8276   0.4901   0.6076   N
snap   optimized  comprehensive             0.030 readout_realistic  scalar_cdr             —      0.3566     —      —
snap   optimized  comprehensive             0.030 readout_realistic  zne_idle             0.2074   0.2825   0.1770   Y
snap   optimized  comprehensive             0.030 readout_realistic  readout_then_zne     0.1716   0.2453   0.1389   Y
snap   optimized  comprehensive             0.100 readout_realistic  raw                  0.6309   0.7755   0.5363   N
snap   optimized  comprehensive             0.100 readout_realistic  readout_only         0.6177   0.7747   0.5240   N
snap   optimized  comprehensive             0.100 readout_realistic  oracle_binomial      0.2888   0.1843   0.1763   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_param            0.4381   0.5064   0.3355   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_damped           0.5000   0.6137   0.4109   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_mid              0.4428   0.5327   0.3509   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_residual         0.4698   0.4889   0.2445   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_afterburn        0.4698   0.4889   0.2445   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_blend            0.4242   0.4903   0.3276   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_select           0.4381   0.5064   0.3355   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_full             0.9588   0.5986   0.7181   N
snap   optimized  comprehensive             0.100 readout_realistic  scalar_cdr             —      0.8465     —      —
snap   optimized  comprehensive             0.100 readout_realistic  zne_idle             0.4911   0.5172   0.3668   Y
snap   optimized  comprehensive             0.100 readout_realistic  readout_then_zne     0.4748   0.5015   0.3496   Y
