Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1058 dE=0.0861 GS=Y  readout_only.TVD=0.0643 dE=0.0498 GS=Y  oracle_binomial.TVD=0.0248 dE=0.0138 GS=Y  gdr_param.TVD=0.0224 dE=0.0098 GS=Y  gdr_select.TVD=0.0224 dE=0.0098 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0735   0.0080   0.0013   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0534   0.0029   0.0003   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0369   0.0045   0.0027   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0349   0.0023   0.0021   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0501   0.0024   0.0001   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0344   0.0021   0.0019   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0377   0.0081   0.0028   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0377   0.0081   0.0028   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0349   0.0023   0.0021   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0346   0.0015   0.0017   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.0972   0.0170   0.0042   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0045     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1491   0.0522   0.0265   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1487   0.0491   0.0274   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.2766   0.0306   0.0173   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.2696   0.0278   0.0170   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2438   0.0297   0.0117   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.1872   0.0134   0.0061   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.1919   0.0072   0.0077   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.1826   0.0106   0.0046   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.2673   0.0328   0.0054   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2673   0.0328   0.0054   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.1822   0.0158   0.0034   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.1894   0.0093   0.0072   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.2247   0.0042   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0146     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.1927   0.0006   0.0018   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1855   0.0032   0.0008   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.4434   0.0751   0.0342   N
