Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1464 dE=0.1501 GS=Y  readout_only.TVD=0.1147 dE=0.1097 GS=Y  oracle_binomial.TVD=0.1023 dE=0.0684 GS=Y  gdr_param.TVD=0.0856 dE=0.0376 GS=Y  gdr_select.TVD=0.0856 dE=0.0376 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.1280   0.0162   0.0002   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.1061   0.0163   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0801   0.0254   0.0002   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0661   0.0155   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0661   0.0155   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0690   0.0153   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0769   0.0239   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0769   0.0239   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0675   0.0180   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0690   0.0153   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.1203   0.0358   0.0002   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0204     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1617   0.0005   0.0002   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1662   0.0017   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.3079   0.0067   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.3011   0.0068   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2731   0.0118   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1839   0.0003   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.1920   0.0016   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1884   0.0009   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.2700   0.0021   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2700   0.0021   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1839   0.0003   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1894   0.0012   0.0000   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.3259   0.0164   0.0022   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0217     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.2268   0.0021   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.2176   0.0013   0.0002   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.5067   0.0025   0.0002   N
