Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1044 dE=0.0664 GS=Y  readout_only.TVD=0.0619 dE=0.0316 GS=Y  oracle_binomial.TVD=0.0308 dE=0.0023 GS=Y  gdr_param.TVD=0.0298 dE=0.0047 GS=Y  gdr_select.TVD=0.0298 dE=0.0047 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   optimized  comprehensive             0.030 readout_realistic  gdr_damped           0.0624   0.0137   0.0009   Y
snap   optimized  comprehensive             0.030 readout_realistic  gdr_mid              0.0926   0.0392   0.0171   Y
snap   optimized  comprehensive             0.030 readout_realistic  gdr_residual         0.0854   0.0407   0.0414   Y
snap   optimized  comprehensive             0.030 readout_realistic  gdr_afterburn        0.0854   0.0407   0.0414   Y
snap   optimized  comprehensive             0.030 readout_realistic  gdr_blend            0.0576   0.0010   0.0073   Y
snap   optimized  comprehensive             0.030 readout_realistic  gdr_select           0.0624   0.0137   0.0009   Y
snap   optimized  comprehensive             0.030 readout_realistic  gdr_full             0.8111   0.3192   0.2376   N
snap   optimized  comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0731     —      —
snap   optimized  comprehensive             0.030 readout_realistic  zne_idle             0.1845   0.0607   0.0485   Y
snap   optimized  comprehensive             0.030 readout_realistic  readout_then_zne     0.1591   0.0321   0.0360   Y
snap   optimized  comprehensive             0.100 readout_realistic  raw                  0.5405   0.2293   0.2381   N
snap   optimized  comprehensive             0.100 readout_realistic  readout_only         0.5326   0.2245   0.2369   N
snap   optimized  comprehensive             0.100 readout_realistic  oracle_binomial      0.3288   0.1743   0.1250   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_param            0.3594   0.0926   0.1055   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_damped           0.3594   0.0926   0.1055   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_mid              0.2329   0.0710   0.0725   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_residual         0.4193   0.1576   0.1727   N
snap   optimized  comprehensive             0.100 readout_realistic  gdr_afterburn        0.4279   0.1602   0.1768   N
snap   optimized  comprehensive             0.100 readout_realistic  gdr_blend            0.3259   0.1539   0.1201   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_select           0.3594   0.0926   0.1055   Y
snap   optimized  comprehensive             0.100 readout_realistic  gdr_full             0.8382   0.3527   0.2743   N
snap   optimized  comprehensive             0.100 readout_realistic  scalar_cdr             —      0.1327     —      —
snap   optimized  comprehensive             0.100 readout_realistic  zne_idle             0.4696   0.2202   0.1914   N
snap   optimized  comprehensive             0.100 readout_realistic  readout_then_zne     0.4577   0.2089   0.1891   N
