Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1805 dE=0.1715 GS=Y  readout_only.TVD=0.1391 dE=0.1384 GS=Y  oracle_binomial.TVD=0.0766 dE=0.0101 GS=Y  gdr_param.TVD=0.0807 dE=0.0134 GS=Y  gdr_select.TVD=0.0807 dE=0.0134 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0862   0.0036   0.0018   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0731   0.0008   0.0023   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0795   0.0057   0.0050   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0675   0.0011   0.0025   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0675   0.0011   0.0025   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0669   0.0018   0.0026   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0930   0.0085   0.0053   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0930   0.0085   0.0053   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0669   0.0008   0.0026   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0675   0.0011   0.0025   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.2088   0.0323   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0015     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.2156   0.0049   0.0018   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.2269   0.0018   0.0018   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.1680   0.0147   0.0048   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.1583   0.0181   0.0048   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2817   0.0282   0.0008   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1024   0.0125   0.0039   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.1002   0.0133   0.0040   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1015   0.0111   0.0039   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.2660   0.0195   0.0043   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2660   0.0195   0.0043   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1024   0.0125   0.0039   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1015   0.0111   0.0039   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.3108   0.0280   0.0087   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0001     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1861   0.0368   0.0015   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1915   0.0362   0.0014   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.3510   0.0679   0.0077   N
