Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1444 dE=0.1395 GS=Y  readout_only.TVD=0.1073 dE=0.0862 GS=Y  oracle_binomial.TVD=0.0639 dE=0.0346 GS=Y  gdr_param.TVD=0.0605 dE=0.0420 GS=Y  gdr_select.TVD=0.0605 dE=0.0420 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0661   0.0050   0.0019   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0644   0.0054   0.0019   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.1054   0.0121   0.0029   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0636   0.0044   0.0018   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0636   0.0045   0.0018   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0664   0.0056   0.0019   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.1157   0.0047   0.0019   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.1157   0.0047   0.0019   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0730   0.0067   0.0021   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0636   0.0044   0.0018   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.1466   0.0121   0.0007   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0066     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.2038   0.0040   0.0011   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.2156   0.0027   0.0011   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.1234   0.0100   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.1203   0.0100   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3458   0.0572   0.0032   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1180   0.0089   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.1142   0.0092   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1158   0.0053   0.0004   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.2796   0.0079   0.0007   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2796   0.0079   0.0007   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1180   0.0089   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1158   0.0053   0.0004   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.2790   0.0029   0.0011   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0027     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1580   0.0160   0.0010   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1631   0.0170   0.0010   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.1995   0.0222   0.0005   N
