Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.0711 dE=0.0132 GS=Y  readout_only.TVD=0.0457 dE=0.0054 GS=Y  oracle_binomial.TVD=0.0369 dE=0.0025 GS=Y  gdr_param.TVD=0.0371 dE=0.0039 GS=Y  gdr_select.TVD=0.0371 dE=0.0039 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0253   0.0104   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0189   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0174   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0175   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0189   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0177   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0166   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0166   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0175   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0184   0.0003   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.5817   0.0000   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.0893   0.0102   0.0000   N
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.0881   0.0013   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  raw                  0.0300   0.0167   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.0217   0.0049   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.0230   0.0047   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.0193   0.0049   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.0169   0.0049   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.0191   0.0049   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.0168   0.0047   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.0176   0.0047   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.0193   0.0049   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.0193   0.0049   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.5619   0.0000   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0000     —      —
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.0679   0.0314   0.0000   N
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.0570   0.0127   0.0000   N
snap   random     comprehensive             0.100 readout_realistic  raw                  0.0762   0.0099   0.0000   N
