Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

snap  comprehensive             readout_realistic     raw.TVD=0.1329 dE=0.1168  readout_only.TVD=0.0953 dE=0.0804  oracle_binomial.TVD=0.0458 dE=0.0052  gdr_param.TVD=0.0386 dE=0.0081  gdr_select.TVD=0.0386 dE=0.0081

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
snap   random     comprehensive             0.003 readout_realistic  raw                  0.0734   0.0139   0.0038
snap   random     comprehensive             0.003 readout_realistic  readout_only         0.0569   0.0075   0.0024
snap   random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0640   0.0151   0.0004
snap   random     comprehensive             0.003 readout_realistic  gdr_param            0.0412   0.0046   0.0014
snap   random     comprehensive             0.003 readout_realistic  gdr_damped           0.0499   0.0045   0.0022
snap   random     comprehensive             0.003 readout_realistic  gdr_mid              0.0421   0.0044   0.0012
snap   random     comprehensive             0.003 readout_realistic  gdr_residual         0.0651   0.0154   0.0002
snap   random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0651   0.0154   0.0002
snap   random     comprehensive             0.003 readout_realistic  gdr_blend            0.0412   0.0046   0.0014
snap   random     comprehensive             0.003 readout_realistic  gdr_select           0.0415   0.0028   0.0015
snap   random     comprehensive             0.003 readout_realistic  gdr_full             0.0844   0.0064   0.0008
snap   random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0073     —   
snap   random     comprehensive             0.003 readout_realistic  zne_idle             0.1392   0.0130   0.0006
snap   random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1390   0.0180   0.0008
snap   random     comprehensive             0.030 readout_realistic  raw                  0.2354   0.0491   0.0105
snap   random     comprehensive             0.030 readout_realistic  readout_only         0.2242   0.0463   0.0101
snap   random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3615   0.0265   0.0051
snap   random     comprehensive             0.030 readout_realistic  gdr_param            0.1391   0.0084   0.0060
snap   random     comprehensive             0.030 readout_realistic  gdr_damped           0.1024   0.0179   0.0071
snap   random     comprehensive             0.030 readout_realistic  gdr_mid              0.1467   0.0086   0.0031
snap   random     comprehensive             0.030 readout_realistic  gdr_residual         0.3414   0.0803   0.0008
snap   random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.3414   0.0803   0.0008
snap   random     comprehensive             0.030 readout_realistic  gdr_blend            0.1391   0.0084   0.0060
snap   random     comprehensive             0.030 readout_realistic  gdr_select           0.1066   0.0160   0.0069
snap   random     comprehensive             0.030 readout_realistic  gdr_full             0.2761   0.0768   0.0008
snap   random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0298     —   
snap   random     comprehensive             0.030 readout_realistic  zne_idle             0.2065   0.0232   0.0010
snap   random     comprehensive             0.030 readout_realistic  readout_then_zne     0.2027   0.0196   0.0006
snap   random     comprehensive             0.100 readout_realistic  raw                  0.3858   0.0446   0.0066
snap   random     comprehensive             0.100 readout_realistic  readout_only         0.3830   0.0429   0.0065
snap   random     comprehensive             0.100 readout_realistic  oracle_binomial      0.7243   0.1024   0.0005
snap   random     comprehensive             0.100 readout_realistic  gdr_param            0.3731   0.0173   0.0368
