Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.0703 dE=0.0090 GS=Y  readout_only.TVD=0.0556 dE=0.0022 GS=Y  oracle_binomial.TVD=0.0505 dE=0.0038 GS=Y  gdr_param.TVD=0.0659 dE=0.0137 GS=Y  gdr_select.TVD=0.0659 dE=0.0137 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0522   0.0020   0.0013   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0453   0.0043   0.0029   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0481   0.0048   0.0055   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0412   0.0068   0.0050   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0412   0.0068   0.0050   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0412   0.0068   0.0050   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0462   0.0049   0.0053   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0462   0.0049   0.0053   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0412   0.0068   0.0050   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0412   0.0068   0.0050   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.2463   0.0401   0.0091   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0063     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1489   0.0211   0.0107   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1602   0.0223   0.0109   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.0794   0.0032   0.0029   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.0698   0.0012   0.0017   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.0785   0.0037   0.0006   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.0477   0.0013   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0477   0.0013   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.0467   0.0009   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.1044   0.0056   0.0036   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.1044   0.0056   0.0036   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.0477   0.0013   0.0001   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.0467   0.0009   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.1614   0.0075   0.0018   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0074     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1207   0.0048   0.0058   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1270   0.0069   0.0079   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.1770   0.0116   0.0022   N
