Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.2250 dE=0.1476  readout_only.TVD=0.1852 dE=0.1135  oracle_binomial.TVD=0.1302 dE=0.0077  gdr_param.TVD=0.0986 dE=0.0165  gdr_select.TVD=0.0986 dE=0.0165

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.1161   0.0031   0.0030
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.1040   0.0027   0.0026
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0948   0.0013   0.0016
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0870   0.0061   0.0012
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0938   0.0040   0.0020
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0863   0.0075   0.0016
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0972   0.0004   0.0015
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0972   0.0004   0.0015
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0870   0.0061   0.0012
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0867   0.0057   0.0013
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.1813   0.0240   0.0015
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0317     —   
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.2581   0.0175   0.0086
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.2661   0.0162   0.0089
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.2429   0.0292   0.0095
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.2375   0.0310   0.0093
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.3643   0.0133   0.0017
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1878   0.0008   0.0034
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.1783   0.0071   0.0049
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1842   0.0010   0.0039
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.3357   0.0793   0.0347
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.3357   0.0793   0.0347
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1878   0.0008   0.0034
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1842   0.0010   0.0039
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.4358   0.0113   0.0033
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0354     —   
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.2750   0.0122   0.0053
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.2796   0.0112   0.0060
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.4378   0.1019   0.0150
ecd    random     comprehensive             0.100 readout_realistic  readout_only         0.4387   0.1067   0.0150
ecd    random     comprehensive             0.100 readout_realistic  oracle_binomial      0.7226   0.0517   0.0162
