Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1820 dE=0.1483 GS=Y  readout_only.TVD=0.1295 dE=0.1038 GS=Y  oracle_binomial.TVD=0.0853 dE=0.0123 GS=Y  gdr_param.TVD=0.0690 dE=0.0034 GS=Y  gdr_select.TVD=0.0690 dE=0.0034 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0742   0.0081   0.0008   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0631   0.0097   0.0007   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0725   0.0174   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0534   0.0094   0.0005   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0576   0.0096   0.0006   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0549   0.0097   0.0005   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0721   0.0172   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0721   0.0172   0.0000   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0534   0.0094   0.0005   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0549   0.0097   0.0005   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.2588   0.0385   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0008     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1919   0.0052   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1962   0.0039   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.1471   0.0193   0.0008   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.1400   0.0214   0.0008   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2633   0.0208   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1020   0.0204   0.0006   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.0988   0.0206   0.0007   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1002   0.0209   0.0006   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.3281   0.0196   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.3281   0.0196   0.0002   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1020   0.0204   0.0006   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1002   0.0209   0.0006   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.3458   0.0460   0.0003   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0021     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1890   0.0118   0.0005   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1943   0.0119   0.0003   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.3085   0.0420   0.0012   N
