Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1652 dE=0.1163 GS=Y  readout_only.TVD=0.1359 dE=0.0922 GS=Y  oracle_binomial.TVD=0.1176 dE=0.0368 GS=Y  gdr_param.TVD=0.0927 dE=0.0225 GS=Y  gdr_select.TVD=0.0927 dE=0.0225 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0925   0.0001   0.0013   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0751   0.0005   0.0006   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0798   0.0025   0.0039   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0568   0.0004   0.0005   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0568   0.0004   0.0005   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0562   0.0008   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0861   0.0022   0.0034   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0861   0.0022   0.0034   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0568   0.0004   0.0005   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0568   0.0004   0.0005   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.2232   0.0099   0.0077   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0027     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1644   0.0208   0.0127   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1636   0.0213   0.0143   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.2464   0.0151   0.0075   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.2416   0.0150   0.0068   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2650   0.0045   0.0078   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1525   0.0081   0.0113   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.1521   0.0057   0.0095   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1612   0.0024   0.0054   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.2226   0.0060   0.0035   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.2226   0.0060   0.0035   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1525   0.0081   0.0113   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1522   0.0046   0.0086   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.3554   0.0043   0.0140   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0239     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1994   0.0119   0.0055   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1939   0.0117   0.0051   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.4410   0.0366   0.0206   N
