Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1439 dE=0.0276 GS=Y  readout_only.TVD=0.0978 dE=0.0164 GS=Y  oracle_binomial.TVD=0.0515 dE=0.0075 GS=Y  gdr_param.TVD=0.0585 dE=0.0133 GS=Y  gdr_select.TVD=0.0585 dE=0.0133 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0865   0.0124   0.0002   N
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0750   0.0108   0.0001   N
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.0726   0.0106   0.0012   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0672   0.0063   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0672   0.0063   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0670   0.0061   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.0695   0.0090   0.0009   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.0695   0.0090   0.0009   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0672   0.0063   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.0670   0.0061   0.0003   N
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.1462   0.0008   0.0014   N
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0076     —      —
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.1425   0.0195   0.0055   N
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.1508   0.0174   0.0059   N
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.1850   0.0298   0.0020   N
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.1801   0.0297   0.0015   N
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.1812   0.0013   0.0011   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1166   0.0023   0.0008   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.1135   0.0050   0.0006   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1128   0.0043   0.0006   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.1695   0.0153   0.0125   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.1695   0.0153   0.0125   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1166   0.0023   0.0008   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1135   0.0050   0.0006   N
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.2006   0.0069   0.0009   N
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0173     —      —
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.1771   0.0171   0.0034   N
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.1773   0.0148   0.0041   N
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.3686   0.0598   0.0094   N
