Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.1558 dE=0.1092  readout_only.TVD=0.1256 dE=0.0782  oracle_binomial.TVD=0.0908 dE=0.0372  gdr_param.TVD=0.0886 dE=0.0203  gdr_select.TVD=0.0886 dE=0.0203

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs
------------------------------------------------------------------------------------------------------------------
ecd    random     comprehensive             0.003 readout_realistic  raw                  0.0958   0.0008   0.0079
ecd    random     comprehensive             0.003 readout_realistic  readout_only         0.0921   0.0029   0.0080
ecd    random     comprehensive             0.003 readout_realistic  oracle_binomial      0.1045   0.0116   0.0038
ecd    random     comprehensive             0.003 readout_realistic  gdr_param            0.0904   0.0006   0.0056
ecd    random     comprehensive             0.003 readout_realistic  gdr_damped           0.0904   0.0006   0.0056
ecd    random     comprehensive             0.003 readout_realistic  gdr_mid              0.0901   0.0002   0.0055
ecd    random     comprehensive             0.003 readout_realistic  gdr_residual         0.1074   0.0098   0.0045
ecd    random     comprehensive             0.003 readout_realistic  gdr_afterburn        0.1074   0.0098   0.0045
ecd    random     comprehensive             0.003 readout_realistic  gdr_blend            0.0897   0.0033   0.0051
ecd    random     comprehensive             0.003 readout_realistic  gdr_select           0.1045   0.0116   0.0038
ecd    random     comprehensive             0.003 readout_realistic  gdr_full             0.2999   0.0852   0.0030
ecd    random     comprehensive             0.003 readout_realistic  scalar_cdr             —      0.0007     —   
ecd    random     comprehensive             0.003 readout_realistic  zne_idle             0.2241   0.0159   0.0119
ecd    random     comprehensive             0.003 readout_realistic  readout_then_zne     0.2292   0.0199   0.0129
ecd    random     comprehensive             0.030 readout_realistic  raw                  0.2251   0.0078   0.0134
ecd    random     comprehensive             0.030 readout_realistic  readout_only         0.2247   0.0104   0.0134
ecd    random     comprehensive             0.030 readout_realistic  oracle_binomial      0.2715   0.0235   0.0307
ecd    random     comprehensive             0.030 readout_realistic  gdr_param            0.1722   0.0303   0.0013
ecd    random     comprehensive             0.030 readout_realistic  gdr_damped           0.1596   0.0273   0.0032
ecd    random     comprehensive             0.030 readout_realistic  gdr_mid              0.1688   0.0316   0.0000
ecd    random     comprehensive             0.030 readout_realistic  gdr_residual         0.3162   0.0255   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_afterburn        0.3162   0.0255   0.0001
ecd    random     comprehensive             0.030 readout_realistic  gdr_blend            0.1719   0.0296   0.0019
ecd    random     comprehensive             0.030 readout_realistic  gdr_select           0.1722   0.0303   0.0013
ecd    random     comprehensive             0.030 readout_realistic  gdr_full             0.3305   0.0123   0.0048
ecd    random     comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0021     —   
ecd    random     comprehensive             0.030 readout_realistic  zne_idle             0.2462   0.0160   0.0033
ecd    random     comprehensive             0.030 readout_realistic  readout_then_zne     0.2543   0.0219   0.0034
ecd    random     comprehensive             0.100 readout_realistic  raw                  0.4385   0.0091   0.0219
ecd    random     comprehensive             0.100 readout_realistic  readout_only         0.4410   0.0108   0.0220
ecd    random     comprehensive             0.100 readout_realistic  oracle_binomial      0.6481   0.0538   0.1183
