Gaussian Data Regression on four_sat (hybrid ECD / SNAP)
Methods: raw, readout_only, oracle_binomial, gdr_param, gdr_damped, gdr_mid, gdr_residual, gdr_afterburn, gdr_blend, gdr_select, gdr_full, scalar_cdr, zne_idle, readout_then_zne

Headline at κτ = 0.003  (readout_only vs gdr_param vs gdr_select vs oracle_binomial)

ecd  comprehensive             readout_realistic     raw.TVD=0.0799 dE=0.0525 GS=Y  readout_only.TVD=0.0599 dE=0.0388 GS=Y  oracle_binomial.TVD=0.0527 dE=0.0263 GS=Y  gdr_param.TVD=0.0562 dE=0.0226 GS=Y  gdr_select.TVD=0.0562 dE=0.0226 GS=Y  ideal_GS=Y

Full table (all cases)

ansatz params     family                       kt readout            method                  TVD       dE     dPgs   GS
-----------------------------------------------------------------------------------------------------------------------
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_param            0.0760   0.0019   0.0098   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_damped           0.0734   0.0151   0.0028   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_mid              0.0697   0.0017   0.0071   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_residual         0.1015   0.0083   0.0206   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_afterburn        0.1015   0.0083   0.0206   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_blend            0.0760   0.0019   0.0098   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_select           0.0760   0.0019   0.0098   Y
ecd    optimized  comprehensive             0.030 readout_realistic  gdr_full             0.5593   0.0201   0.0783   N
ecd    optimized  comprehensive             0.030 readout_realistic  scalar_cdr             —      0.0919     —      —
ecd    optimized  comprehensive             0.030 readout_realistic  zne_idle             0.1776   0.0592   0.0245   Y
ecd    optimized  comprehensive             0.030 readout_realistic  readout_then_zne     0.1749   0.0472   0.0127   Y
ecd    optimized  comprehensive             0.100 readout_realistic  raw                  0.3329   0.1920   0.1047   N
ecd    optimized  comprehensive             0.100 readout_realistic  readout_only         0.3282   0.1905   0.0994   N
ecd    optimized  comprehensive             0.100 readout_realistic  oracle_binomial      0.2234   0.0265   0.0169   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_param            0.1469   0.0080   0.0154   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_damped           0.1462   0.0171   0.0196   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_mid              0.1431   0.0036   0.0173   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_residual         0.2138   0.0430   0.0082   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_afterburn        0.2138   0.0430   0.0082   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_blend            0.1469   0.0080   0.0154   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_select           0.1469   0.0080   0.0154   Y
ecd    optimized  comprehensive             0.100 readout_realistic  gdr_full             0.9696   0.0976   0.1940   N
ecd    optimized  comprehensive             0.100 readout_realistic  scalar_cdr             —      0.1700     —      —
ecd    optimized  comprehensive             0.100 readout_realistic  zne_idle             0.2283   0.1086   0.0579   Y
ecd    optimized  comprehensive             0.100 readout_realistic  readout_then_zne     0.2241   0.1002   0.0497   Y
